0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2020010100,1252A,28.0,16.0,28.0,4.0,35.0,26.0,0.5,12,-6,10351,250,20,0,-9999,0
2020010100,1253A,31.0,15.0,31.0,7.0,35.0,33.0,0.4,12,-6,10351,250,20,0,-9999,0
2020010100,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,12,-6,10351,250,20,0,-9999,0
2020010100,2872A,40.0,19.0,40.0,6.0,50.0,12.0,0.5,12,-6,10351,250,20,0,-9999,0
2020010101,1252A,28.0,16.0,28.0,5.0,38.0,21.0,0.5,30,0,10349,220,20,0,-9999,0
2020010101,1253A,33.0,18.0,33.0,7.0,38.0,28.0,0.4,30,0,10349,220,20,0,-9999,0
2020010101,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,30,0,10349,220,20,0,-9999,0
2020010101,2872A,37.0,18.0,37.0,6.0,53.0,10.0,0.5,30,0,10349,220,20,0,-9999,0
2020010102,1252A,28.0,16.0,28.0,5.0,47.0,15.0,0.6,60,-10,10346,150,30,0,-9999,0
2020010102,1253A,33.0,18.0,33.0,8.0,46.0,17.0,0.4,60,-10,10346,150,30,0,-9999,0
2020010102,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,60,-10,10346,150,30,0,-9999,0
2020010102,2872A,33.0,15.0,33.0,6.0,36.0,24.0,0.5,60,-10,10346,150,30,0,-9999,0
2020010103,1252A,31.0,16.0,31.0,6.0,47.0,14.0,0.6,65,-17,10343,168,16,0,-9999,0
2020010103,1253A,35.0,19.0,35.0,8.0,45.0,17.0,0.4,65,-17,10343,168,16,0,-9999,0
2020010103,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,65,-17,10343,168,16,0,-9999,0
2020010103,2872A,34.0,16.0,34.0,6.0,46.0,14.0,0.5,65,-17,10343,168,16,0,-9999,0
2020010104,1252A,30.0,15.0,26.0,5.0,59.0,3.0,0.6,90,-10,10331,139,20,0,-9999,0
2020010104,1253A,31.0,17.0,31.0,7.0,51.0,10.0,0.4,90,-10,10331,139,20,0,-9999,0
2020010104,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,90,-10,10331,139,20,0,-9999,0
2020010104,2872A,31.0,14.0,31.0,6.0,53.0,7.0,0.5,90,-10,10331,139,20,0,-9999,0
2020010105,1252A,31.0,13.0,26.0,5.0,62.0,1.0,0.6,100,-10,10318,110,20,0,-9999,0
2020010105,1253A,29.0,16.0,29.0,7.0,56.0,6.0,0.4,100,-10,10318,110,20,0,-9999,0
2020010105,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,100,-10,10318,110,20,0,-9999,0
2020010105,2872A,32.0,15.0,32.0,6.0,53.0,7.0,0.5,100,-10,10318,110,20,0,-9999,0
2020010106,1252A,32.0,13.0,27.0,5.0,63.0,1.0,0.7,106,-11,10305,150,10,1,-9999,0
2020010106,1253A,29.0,17.0,28.0,7.0,58.0,6.0,0.4,106,-11,10305,150,10,1,-9999,0
2020010106,1254A,65.0,38.0,80.0,7.0,45.0,5.0,0.8,106,-11,10305,150,10,1,-9999,0
