0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2020010100,1168A,15.0,9.0,11.0,7.0,13.0,46.0,0.3,17,-24,10344,360,1,0,-9999,7
2020010100,1169A,20.0,8.0,12.0,6.0,8.0,62.0,0.2,17,-24,10344,360,1,0,-9999,7
2020010100,1170A,18.0,8.0,13.0,5.0,12.0,57.0,0.5,17,-24,10344,360,1,0,-9999,7
2020010100,1171A,18.0,12.0,15.0,10.0,2.0,48.0,0.3,17,-24,10344,360,1,0,-9999,7
2020010100,1172A,30.0,15.0,30.0,4.0,52.0,12.0,0.6,17,-24,10344,360,1,0,-9999,7
2020010101,1168A,18.0,12.0,5.0,8.0,19.0,35.0,0.3,17,-24,10350,360,1,0,-9999,7
2020010101,1169A,19.0,9.0,11.0,6.0,10.0,58.0,0.2,17,-24,10350,360,1,0,-9999,7
2020010101,1170A,18.0,11.0,18.0,5.0,16.0,50.0,0.5,17,-24,10350,360,1,0,-9999,7
2020010101,1171A,20.0,14.0,14.0,10.0,16.0,27.0,0.4,17,-24,10350,360,1,0,-9999,7
2020010101,1172A,30.0,18.0,30.0,4.0,46.0,15.0,0.6,17,-24,10350,360,1,0,-9999,7
2020010102,1168A,30.0,21.0,15.0,8.0,40.0,18.0,0.5,17,2,10350,360,1,0,-9999,7
2020010102,1169A,38.0,14.0,38.0,6.0,30.0,36.0,0.3,17,2,10350,360,1,0,-9999,7
2020010102,1170A,26.0,18.0,23.0,5.0,33.0,28.0,0.5,17,2,10350,360,1,0,-9999,7
2020010102,1171A,22.0,15.0,22.0,10.0,23.0,23.0,0.4,17,2,10350,360,1,0,-9999,7
2020010102,1172A,42.0,29.0,38.0,4.0,56.0,3.0,0.6,17,2,10350,360,1,0,-9999,7
2020010103,1168A,27.0,18.0,25.0,8.0,54.0,6.0,0.4,61,2,10350,129,21,3,-9999,7
2020010103,1169A,33.0,15.0,33.0,6.0,36.0,27.0,0.2,61,2,10350,129,21,3,-9999,7
2020010103,1170A,38.0,26.0,38.0,6.0,51.0,11.0,0.6,61,2,10350,129,21,3,-9999,7
2020010103,1171A,23.0,16.0,23.0,10.0,31.0,11.0,0.4,61,2,10350,129,21,3,-9999,7
2020010103,1172A,42.0,27.0,42.0,4.0,53.0,4.0,0.6,61,2,10350,129,21,3,-9999,7
2020010104,1168A,38.0,26.0,26.0,10.0,55.0,4.0,0.5,61,2,10343,129,21,3,-9999,7
2020010104,1169A,42.0,29.0,33.0,7.0,51.0,12.0,0.3,61,2,10343,129,21,3,-9999,7
2020010104,1170A,36.0,24.0,36.0,6.0,53.0,10.0,0.5,61,2,10343,129,21,3,-9999,7
2020010104,1171A,24.0,16.0,24.0,10.0,42.0,7.0,0.4,61,2,10343,129,21,3,-9999,7
2020010104,1172A,46.0,32.0,38.0,5.0,56.0,3.0,0.6,61,2,10343,129,21,3,-9999,7
2020010105,1168A,32.0,22.0,29.0,9.0,51.0,12.0,0.4,61,-15,10343,129,21,3,-9999,7
2020010105,1169A,30.0,21.0,30.0,6.0,47.0,15.0,0.3,61,-15,10343,129,21,3,-9999,7
2020010105,1170A,29.0,19.0,29.0,6.0,43.0,20.0,0.5,61,-15,10343,129,21,3,-9999,7
2020010105,1171A,26.0,18.0,21.0,11.0,45.0,9.0,0.4,61,-15,10343,129,21,3,-9999,7
2020010105,1172A,39.0,27.0,38.0,4.0,53.0,7.0,0.6,61,-15,10343,129,21,3,-9999,7
2020010106,1168A,28.0,19.0,23.0,8.0,53.0,4.0,0.4,75,-15,10343,58,31,4,-9999,7
2020010106,1169A,29.0,16.0,29.0,7.0,40.0,21.0,0.2,75,-15,10343,58,31,4,-9999,7
2020010106,1170A,31.0,21.0,31.0,6.0,38.0,23.0,0.5,75,-15,10343,58,31,4,-9999,7
2020010106,1171A,25.0,17.0,18.0,10.0,34.0,19.0,0.3,75,-15,10343,58,31,4,-9999,7
2020010106,1172A,42.0,29.0,40.0,4.0,51.0,11.0,0.6,75,-15,10343,58,31,4,-9999,7
2020010107,1168A,28.0,19.0,28.0,9.0,52.0,5.0,0.5,75,-15,10323,58,31,4,-9999,7
2020010107,1169A,25.0,17.0,25.0,7.0,38.0,22.0,0.2,75,-15,10323,58,31,4,-9999,7
2020010107,1170A,30.0,21.0,27.0,7.0,35.0,25.0,0.5,75,-15,10323,58,31,4,-9999,7
2020010107,1171A,29.0,20.0,26.0,10.0,34.0,18.0,0.4,75,-15,10323,58,31,4,-9999,7
2020010107,1172A,39.0,27.0,32.0,4.0,49.0,10.0,0.6,75,-15,10323,58,31,4,-9999,7
2020010108,1168A,46.0,32.0,33.0,9.0,49.0,16.0,0.5,75,0,10323,58,31,4,-9999,7
2020010108,1169A,26.0,14.0,26.0,7.0,36.0,28.0,0.2,75,0,10323,58,31,4,-9999,7
2020010108,1170A,36.0,20.0,36.0,7.0,45.0,19.0,0.7,75,0,10323,58,31,4,-9999,7
2020010108,1171A,35.0,23.0,35.0,10.0,40.0,8.0,0.5,75,0,10323,58,31,4,-9999,7
2020010108,1172A,41.0,20.0,41.0,4.0,52.0,11.0,0.7,75,0,10323,58,31,4,-9999,7
2020010109,1168A,51.0,27.0,51.0,10.0,49.0,19.0,0.5,55,0,10323,126,36,4,-9999,7
2020010109,1169A,28.0,14.0,28.0,7.0,34.0,33.0,0.2,55,0,10323,126,36,4,-9999,7
2020010109,1170A,34.0,20.0,34.0,6.0,36.0,30.0,0.8,55,0,10323,126,36,4,-9999,7
2020010109,1171A,43.0,18.0,43.0,11.0,36.0,24.0,0.5,55,0,10323,126,36,4,-9999,7
2020010109,1172A,51.0,21.0,51.0,5.0,47.0,17.0,0.7,55,0,10323,126,36,4,-9999,7
2020010110,1168A,48.0,21.0,48.0,9.0,34.0,41.0,0.4,55,0,10311,126,36,4,-9999,8
2020010110,1169A,44.0,11.0,44.0,8.0,20.0,51.0,0.2,55,0,10311,126,36,4,-9999,8
2020010110,1170A,46.0,16.0,46.0,6.0,23.0,46.0,0.6,55,0,10311,126,36,4,-9999,8
2020010110,1171A,38.0,18.0,38.0,11.0,25.0,38.0,0.4,55,0,10311,126,36,4,-9999,8
2020010110,1172A,44.0,15.0,44.0,5.0,29.0,43.0,0.6,55,0,10311,126,36,4,-9999,8
2020010111,1168A,38.0,15.0,38.0,10.0,24.0,55.0,0.4,55,-3,10311,126,36,4,-9999,8
2020010111,1169A,44.0,11.0,44.0,8.0,16.0,57.0,0.3,55,-3,10311,126,36,4,-9999,8
2020010111,1170A,38.0,14.0,38.0,7.0,17.0,53.0,0.6,55,-3,10311,126,36,4,-9999,8
2020010111,1171A,40.0,16.0,40.0,11.0,18.0,51.0,0.4,55,-3,10311,126,36,4,-9999,8
2020010111,1172A,33.0,15.0,33.0,5.0,20.0,53.0,0.6,55,-3,10311,126,36,4,-9999,8
2020010112,1168A,34.0,15.0,34.0,10.0,20.0,60.0,0.4,60,-3,10311,126,24,0,-9999,8
2020010112,1169A,36.0,15.0,36.0,8.0,17.0,57.0,0.3,60,-3,10311,126,24,0,-9999,8
