0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
2018010100,1246A,182.0,137.0,193.0,6.0,69.0,10.0,1.5,25,17,10291,220,20,4,-9999,0
2018010100,1247A,150.0,115.0,182.0,12.0,53.0,11.0,1.3,25,17,10291,220,20,4,-9999,0
2018010100,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,1,-6,10302,250,10,7,-9999,0
2018010101,1246A,163.0,124.0,177.0,6.0,48.0,23.0,1.4,40,30,10291,240,10,0,-9999,0
2018010101,1247A,150.0,115.0,182.0,12.0,53.0,11.0,1.3,40,30,10291,240,10,0,-9999,0
2018010101,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,1,-6,10302,250,10,7,-9999,0
2018010102,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,70,30,10291,230,10,0,-9999,0
2018010102,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,70,30,10291,230,10,0,-9999,0
2018010102,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,1,-6,10302,250,10,7,-9999,0
2018010103,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,81,15,10290,220,20,0,-9999,0
2018010103,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,81,15,10290,220,20,0,-9999,0
2018010103,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,62,-11,10294,180,20,0,-9999,0
2018010104,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,100,10,10278,130,30,0,-9999,0
2018010104,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,100,10,10278,130,30,0,-9999,0
2018010104,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,62,-11,10294,180,20,0,-9999,0
2018010105,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,110,-10,10266,120,30,0,-9999,0
2018010105,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,110,-10,10266,120,30,0,-9999,0
2018010105,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,62,-11,10294,180,20,0,-9999,0
2018010106,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,112,-19,10254,70,30,3,-9999,0
2018010106,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,112,-19,10254,70,30,3,-9999,0
2018010106,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,123,-27,10254,180,20,2,-9999,0
2018010107,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,120,10,10254,100,40,0,-9999,0
2018010107,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,120,10,10254,100,40,0,-9999,0
2018010107,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,123,-27,10254,180,20,3,-9999,0
2018010108,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,110,20,10254,100,40,0,-9999,0
2018010108,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,110,20,10254,100,40,0,-9999,0
2018010108,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,123,-27,10254,180,20,4,-9999,0
2018010109,1246A,159.0,121.0,174.0,5.0,45.0,18.0,1.4,97,14,10253,90,30,7,-9999,0
2018010109,1247A,150.0,115.0,183.0,15.0,65.0,2.0,1.3,97,14,10253,90,30,7,-9999,0
2018010109,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,105,-9,10252,20,30,5,-9999,0
2018010110,1246A,159.0,121.0,173.0,9.0,65.0,18.0,1.6,70,10,10258,80,40,0,-9999,0
2018010110,1247A,142.0,108.0,170.0,18.0,56.0,22.0,1.4,70,10,10258,80,40,0,-9999,0
2018010110,2921A,179.0,135.0,234.0,16.0,54.0,18.0,1.7,105,-9,10252,20,30,5,-9999,0
2018010111,1246A,149.0,114.0,168.0,15.0,65.0,39.0,1.4,70,20,10262,90,30,0,-9999,0
2018010111,1247A,144.0,110.0,176.0,19.0,47.0,51.0,1.3,70,20,10262,90,30,0,-9999,0
2018010111,2921A,180.0,136.0,232.0,18.0,57.0,25.0,1.7,105,-9,10252,20,30,5,-9999,0
2018010112,1246A,149.0,114.0,174.0,18.0,49.0,82.0,1.3,80,15,10266,90,30,7,-9999,0
2018010112,1247A,150.0,115.0,185.0,19.0,43.0,76.0,1.3,80,15,10266,90,30,7,-9999,0
2018010112,2921A,172.0,130.0,223.0,13.0,56.0,49.0,1.6,86,-2,10270,140,30,7,-9999,0
2018010113,1246A,148.0,113.0,173.0,18.0,48.0,90.0,1.2,80,30,10266,110,40,0,-9999,0
2018010113,1247A,147.0,112.0,182.0,24.0,34.0,108.0,1.2,80,30,10266,110,40,0,-9999,0
2018010113,2921A,142.0,108.0,190.0,13.0,27.0,96.0,1.3,86,-2,10270,140,30,7,-9999,0
2018010114,1246A,143.0,109.0,167.0,14.0,36.0,109.0,1.2,80,30,10266,120,30,0,-9999,0
2018010114,1247A,138.0,105.0,172.0,23.0,34.0,117.0,1.1,80,30,10266,120,30,0,-9999,0
2018010114,2921A,127.0,96.0,174.0,14.0,31.0,95.0,1.2,86,-2,10270,140,30,7,-9999,0
2018010115,1246A,202.0,152.0,228.0,14.0,40.0,120.0,1.4,77,25,10265,90,20,0,-9999,0
2018010115,1247A,162.0,123.0,197.0,21.0,37.0,118.0,1.2,77,25,10265,90,20,0,-9999,0
2018010115,2921A,155.0,118.0,211.0,11.0,34.0,93.0,1.3,82,0,10277,140,30,8,-9999,0
2018010116,1246A,232.0,182.0,267.0,15.0,51.0,121.0,1.7,70,30,10264,80,20,0,-9999,0
2018010116,1247A,202.0,152.0,237.0,21.0,37.0,116.0,1.4,70,30,10264,80,20,0,-9999,0
2018010116,2921A,209.0,159.0,279.0,12.0,38.0,99.0,1.5,82,0,10277,140,30,8,-9999,0
2018010117,1246A,179.0,135.0,199.0,13.0,53.0,107.0,1.5,80,30,10263,100,20,0,-9999,0
2018010117,1247A,229.0,179.0,276.0,20.0,43.0,113.0,1.4,80,30,10263,100,20,0,-9999,0
2018010117,2921A,242.0,192.0,336.0,12.0,55.0,85.0,1.7,82,0,10277,140,30,9,-9999,0
2018010118,1246A,180.0,136.0,203.0,16.0,64.0,95.0,1.6,75,27,10261,340,20,0,-9999,0
2018010118,1247A,198.0,148.0,235.0,19.0,50.0,90.0,1.4,75,27,10261,340,20,0,-9999,0
2018010118,2921A,200.0,150.0,266.0,12.0,53.0,77.0,1.5,80,20,10269,200,20,9,-9999,0
2018010119,1246A,113.0,85.0,131.0,12.0,52.0,73.0,1.3,80,30,10258,80,20,0,-9999,0
2018010119,1247A,204.0,154.0,244.0,19.0,56.0,82.0,1.4,80,30,10258,80,20,0,-9999,0
2018010119,2921A,199.0,149.0,264.0,11.0,54.0,72.0,1.6,80,20,10269,200,20,9,-9999,0
2018010120,1246A,89.0,66.0,101.0,12.0,47.0,63.0,1.1,80,30,10255,80,20,0,-9999,0
2018010120,1247A,152.0,116.0,188.0,19.0,58.0,58.0,1.3,80,30,10255,80,20,0,-9999,0
2018010120,2921A,145.0,111.0,203.0,10.0,54.0,50.0,1.5,80,20,10269,200,20,9,-9999,0
2018010121,1246A,87.0,64.0,99.0,12.0,54.0,49.0,1.1,75,28,10251,180,10,0,-9999,0
2018010121,1247A,170.0,129.0,209.0,19.0,70.0,42.0,1.4,75,28,10251,180,10,0,-9999,0
2018010121,2921A,152.0,116.0,213.0,9.0,71.0,31.0,1.5,75,30,10260,250,20,9,-9999,0
2018010122,1246A,102.0,76.0,118.0,14.0,78.0,25.0,1.2,80,40,10254,360,10,0,-9999,0
2018010122,1247A,186.0,140.0,224.0,18.0,66.0,40.0,1.4,80,40,10254,360,10,0,-9999,0
2018010122,2921A,172.0,130.0,238.0,9.0,91.0,14.0,1.6,75,30,10260,250,20,9,-9999,0
2018010123,1246A,120.0,91.0,139.0,14.0,70.0,33.0,1.3,80,40,10257,240,20,0,-9999,0
2018010123,1247A,173.0,131.0,207.0,18.0,51.0,49.0,1.4,80,40,10257,240,20,0,-9999,0
2018010123,2921A,186.0,140.0,256.0,7.0,78.0,18.0,1.6,75,30,10260,250,20,9,-9999,0
2018010200,1246A,130.0,99.0,150.0,12.0,63.0,44.0,1.3,77,40,10259,220,10,8,-9999,0
2018010200,1247A,152.0,116.0,183.0,17.0,37.0,61.0,1.3,77,40,10259,220,10,8,-9999,0
2018010200,2921A,165.0,125.0,224.0,8.0,55.0,37.0,1.5,78,37,10270,250,20,8,-9999,0
2018010201,1246A,118.0,89.0,133.0,13.0,62.0,46.0,1.2,100,40,10258,185,10,0,-9999,0
2018010201,1247A,127.0,96.0,154.0,17.0,20.0,83.0,1.1,100,40,10258,185,10,0,-9999,0
2018010201,2921A,132.0,100.0,181.0,7.0,28.0,62.0,1.3,78,37,10270,250,20,8,-9999,0
2018010202,1246A,104.0,78.0,115.0,12.0,42.0,66.0,1.1,110,50,10257,150,20,0,-9999,0
2018010202,1247A,109.0,82.0,131.0,16.0,18.0,82.0,1.0,110,50,10257,150,20,0,-9999,0
2018010202,2921A,112.0,84.0,153.0,6.0,23.0,60.0,1.2,78,37,10270,250,20,8,-9999,0
2018010203,1246A,87.0,64.0,95.0,12.0,37.0,64.0,1.0,102,36,10256,160,10,8,-9999,0
2018010203,1247A,103.0,77.0,125.0,15.0,21.0,77.0,1.0,102,36,10256,160,10,8,-9999,0
2018010203,2921A,108.0,81.0,146.0,5.0,25.0,50.0,1.2,115,58,10262,220,10,7,-9999,0
2018010204,1246A,84.0,62.0,92.0,11.0,50.0,43.0,1.0,130,50,10249,80,10,0,-9999,0
2018010204,1247A,98.0,73.0,118.0,15.0,27.0,63.0,1.0,130,50,10249,80,10,0,-9999,0
2018010204,2921A,108.0,81.0,146.0,4.0,42.0,28.0,1.2,115,58,10262,220,10,7,-9999,0
2018010205,1246A,75.0,55.0,82.0,9.0,52.0,37.0,1.0,130,50,10241,0,0,0,-9999,0
2018010205,1247A,83.0,61.0,101.0,15.0,28.0,59.0,0.9,130,50,10241,0,0,0,-9999,0
2018010205,2921A,102.0,76.0,137.0,4.0,45.0,23.0,1.2,115,58,10262,220,10,7,-9999,0
2018010206,1246A,72.0,52.0,82.0,8.0,53.0,35.0,0.9,125,44,10233,140,10,8,-9999,0
2018010206,1247A,80.0,59.0,99.0,15.0,40.0,43.0,1.0,125,44,10233,140,10,8,-9999,0
2018010206,2921A,113.0,85.0,157.0,4.0,60.0,6.0,1.3,147,68,10232,140,30,7,-9999,0
2018010207,1246A,68.0,49.0,77.0,12.0,72.0,15.0,1.0,140,60,10234,80,20,0,-9999,0
2018010207,1247A,79.0,58.0,99.0,15.0,68.0,17.0,1.1,140,60,10234,80,20,0,-9999,0
2018010207,2921A,127.0,96.0,176.0,5.0,65.0,4.0,1.4,147,68,10232,140,30,7,-9999,0
2018010208,1246A,70.0,51.0,81.0,10.0,79.0,6.0,1.1,140,70,10235,80,30,0,-9999,0
2018010208,1247A,93.0,69.0,119.0,15.0,78.0,3.0,1.3,140,70,10235,80,30,0,-9999,0
2018010208,2921A,119.0,90.0,166.0,5.0,59.0,7.0,1.4,147,68,10232,140,30,7,-9999,0
2018010209,1246A,72.0,52.0,86.0,11.0,79.0,5.0,1.3,120,54,10236,40,20,8,-9999,0
2018010209,1247A,114.0,86.0,146.0,16.0,75.0,5.0,1.5,120,54,10236,40,20,8,-9999,0
